"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0G850","2019-07-30 00:00:00","62.000","130.000","0.400","29.500","0.820","1001.300","-99.000","0.000","-99.000","-99.000","-99.000","35.500","","26.400",""
"C0I380","2019-07-30 00:00:00","258.000","0.000","0.000","25.800","0.990","979.700","-99.000","0.000","-99.000","-99.000","-99.000","34.600","","23.900",""
"C0Z020","2019-07-30 00:00:00","211.000","208.000","1.400","25.200","0.990","987.400","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","23.700",""
"C0Z190","2019-07-30 00:00:00","62.000","315.000","1.100","26.500","0.990","1003.700","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","26.100",""
"C0C710","2019-07-30 00:00:00","143.000","315.000","0.500","26.000","0.940","992.900","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","23.600",""
"C0D360","2019-07-30 00:00:00","523.000","0.000","0.000","24.100","0.920","950.800","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","21.500",""
"C0C680","2019-07-30 00:00:00","228.000","0.000","0.200","28.300","0.840","982.000","-99.000","0.000","-99.000","-99.000","-99.000","31.000","","25.600",""
"C0X140","2019-07-30 00:00:00","17.000","117.000","0.700","29.100","0.880","1006.500","-99.000","0.000","-99.000","-99.000","-99.000","35.100","","26.200",""
"C0V710","2019-07-30 00:00:00","34.000","117.000","1.800","29.800","0.840","1005.100","-99.000","0.500","-99.000","-99.000","-99.000","32.100","","29.800",""
"C0G840","2019-07-30 00:00:00","32.000","0.000","0.100","27.500","0.920","1003.200","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","25.200",""
"C0S890","2019-07-30 00:00:00","238.000","0.000","0.200","25.000","0.900","987.600","-99.000","1.000","-99.000","-99.000","-99.000","34.100","","24.300",""
"C0T820","2019-07-30 00:00:00","550.000","0.000","0.000","24.000","0.920","954.000","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","20.300",""
"C0F9I0","2019-07-30 00:00:00","194.000","182.000","0.700","28.300","0.870","987.000","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","24.700",""
"C0C650","2019-07-30 00:00:00","208.000","200.000","0.400","27.300","0.870","985.600","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","24.600",""
"C0R600","2019-07-30 00:00:00","766.000","8.000","0.500","23.600","0.920","925.700","-99.000","1.000","-99.000","-99.000","-99.000","28.500","","23.000",""
"C0Z320","2019-07-30 00:00:00","646.000","293.000","0.900","20.600","0.950","941.000","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","19.800",""
"C0V210","2019-07-30 00:00:00","734.000","59.000","0.400","22.300","0.920","930.900","-99.000","0.000","-99.000","-99.000","-99.000","29.400","","19.500",""
